Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
_Waters Review Language, ,--,Yes,--,Manual,--,Use the MSUP template here https://envirointel.sharepoint.com/:x:/r/sites/SCEVMEnviro-IntelSubcontractors/_layouts/15/Doc.aspx?sourcedoc=%7BED49D9BB-F1D5-4389-8721-BD354AC881E5%7D&file=MSUP%20and%20NPS%20Waters%20Review%20Template.xlsx&action=default&mobileredirect=true,,"No W/W concerns, Implement Standard Environmental Requirements.  ",--,--,Wetlands/Waters Monitor: A wetlands monitor is required onsite during work activities and related actions.,--,Wetlands/Waters Monitor: A wetlands monitor is required onsite during work activities and related actions.,"Per SCE determination, Implement Standard Environmental Requirements. ",--,--,"Per SCE determination, Wetlands/Waters Monitor: A wetlands monitor is required onsite during work activities and related actions.",,Wetlands/Waters Monitor: A wetlands monitor is required onsite during work activities and related actions.,,,
0_None, ,--,Yes,--,Manual,Work area,--,Implement Standard Environmental Requirements.,No known listed or fully protected biological resources are likely to occur near the work area.,Standard OMP BMPs.,IIA,No known listed or fully protected biological resources are likely to occur near the work area.,Standard OMP BMPs.,Implement Standard Environmental Requirements.,--,--,--,--,--,--,--,--,--
00_Invasive Plants,--,--,Yes,--,Manual,Work area,--,,--,--,IIA,Invasive Plant - Within USFS Invasive plant record.,"Invasive Plant BMPs 1-8; 

General Measures and Standard OMP BMPs. ","Invasive Plants: Non-native plant infestations within the action area will be flagged and avoided. If infestations cannot be avoided, all off-road equipment will be cleaned with compressed air, pressure washers, brushes, or similar equipment prior to moving between work sites or leaving the area. Avoid chipping or mulching in infested areas unless a biological monitor has confirmed viable seeds are not present.

Staging Areas: Staging areas will avoid invasive and nonnative plant-infested areas, be limited in size, and utilize existing disturbed areas, to the extent feasible.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
00_Nesting Birds, ,--,Yes,--,Manual,Work area,"1. Required for all work in D50.
2. All brush and wood tree removals require a NB survey. 
3. Tree trimming may be at the discretion of the reviewer base on work site conditions, scope, and likelihood for nests to be identified by crews. ",NBS,--,--,IIA,A pre-construction nesting bird survey is required for work activities that occur during nesting bird season.,Nest Survey; ,Nest Survey: A nest survey is required for activities scheduled between February 1 and August 31.,--,--,--,--,--,--,--,--,--
00_Woodpeckers, ,"ACWO usually nest in pines, maples, birches, cottonwoods, and oaks",Yes,--,Manual,Work area,"Do not order woodpecker surveys for structure brushing.  

Woodpecker surveys should only be added for tree removals in areas where oaks occur (generally elevations below Huntington Lake) and where there are Acorn woodpecker observations in eBird. Ask the PM if you have questions.  

If tree DBH is greater than 12"", add NB/WP survey",Pre-activity Survey Required,--,--,IIA,A pre-construction nesting bird/woodpecker survey is required for work activities that occur during nesting bird season.,Nesting Bird/Woodpecker Survey;,Nesting Bird/Woodpecker Survey: A nesting bird/woodpecker survey is required for activities scheduled between February 1 and October 31.,--,--,--,--,--,--,--,--,--
A cave obligate pseudoscorpion,Tuberochernes aalbui,dark caves and underground habitats with suitable microclimatic conditions,Yes,Invertebrate,Formula,Work area,--,#REF!,A cave obligate pseudoscorpion (INF:SCC; Habitat description: dark caves and underground habitats with suitable microclimatic conditions) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,A cave obligate pseudoscorpion (INF:SCC; Habitat description: dark caves and underground habitats with suitable microclimatic conditions) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
Abbott's bush-mallow,Malacothamnus abbottii,"sandy soils, streambanks, chaparral",Yes,Plant,Formula,--,Not reviewed on USFS,Pre-activity Survey Required,"Abbott's bush-mallow (CRPR 1B.1, Blooming Period: May - Jul; Habitat description: sandy soils, streambanks, chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,--,"Abbott's bush-mallow (CRPR 1B.1, Blooming Period: May - Jul; Habitat description: sandy soils, streambanks, chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",--,Not reviewed on USFS,--,--,--,--,--,--,--,--,--
Abert's sanvitalia,Sanvitalia abertii,"dry slopes, washes, scrub, woodland",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Abrams' onion,Allium abramsii,granitic sand in open coniferous forest,No,Plant,Formula,--,Not discussed on USFS.,#REF!,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Abrams' oxytheca,Acanthoscyphus parishii var. abramsii,"sand and shale in chapparral at elevations ranging from 3,750 to 6,750 feet",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Abrams' oxytheca (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: sand and shale in chapparral at elevations ranging from 3,750 to 6,750 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Abrams' oxytheca (FSS; CRPR 1B.2, Blooming Period: Jun - Aug; Habitat description: sand and shale in chapparral at elevations ranging from 3,750 to 6,750 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Abrams' oxytheca): A biological survey is required. 

FSS Plant Avoidance (Abrams' oxytheca): If Abrams' oxytheca is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
